Tournament_Name,Date,Prize,Entrants,Location,Winner,RunnerUp
GENESIS 7,"Jan 24 - 26, 2020","$15,058","1,110 entrants",Oakland,Zain,Hungrybox
The Big House 9,"Oct 4 - 6, 2019","$9,090",909 entrants,Detroit,Mango,Zain
Super Smash Con 2019,"Aug 8 - 11, 2019","$8,530",853 entrants,Chantilly,Leffen,Hungrybox
Smash 'N' Splash 5,"May 31 - Jun 2, 2019","$13,380",838 entrants,Wisconsin Dells,Wizzrobe,Hungrybox
Get On My Level 2019,"May 17 - 19, 2019","$4,669",420 entrants,Toronto,Mango,Axe
GENESIS 6,"Feb 1 - 3, 2019","$11,130","1,113 entrants",Oakland,Hungrybox,Axe
The Big House 8,"Oct 5 - 7, 2018","$10,320","1,032 entrants",Detroit,Hungrybox,Plup
Super Smash Con 2018,"Aug 9 - 12, 2018","$10,530","1,053 entrants",Chantilly,Armada,Mew2King
EVO 2018,"Aug 3 - 5, 2018","$13,530","1,353 entrants",Las Vegas,Leffen,Armada
Smash 'N' Splash 4,"Jun 1 - 3, 2018","$14,240",924 entrants,Wisconsin Dells,Armada,Hungrybox
GENESIS 5,"Jan 19 - 21, 2018","$13,650","1,365 entrants",Oakland,Plup,Hungrybox
The Big House 7,"Oct 6 - 8, 2017","$15,220","1,522 entrants",Detroit,Hungrybox,Plup
Shine 2017,"Aug 25 - 27, 2017","$11,560","1,156 entrants",Boston,Hungrybox,Mango
Super Smash Con 2017,"Aug 10 - 13, 2017","$10,920","1,092 entrants",Chantilly,Mango,Mew2King
EVO 2017,"Jul 14 - 16, 2017","$14,280","1,428 entrants",Las Vegas,Armada,Mango
Smash 'N' Splash 3,"Jun 2 - 4, 2017","$13,480",848 entrants,Wisconsin Dells,Hungrybox,Leffen
GENESIS 4,"Jan 20 - 22, 2017","$17,040","1,704 entrants",San Jose,Armada,Mango
UGC Smash Open,"Dec 2 - 4, 2016","$17,480",248 entrants,St. Louis,Armada,Mew2King
The Big House 6,"Oct 7 - 9, 2016","$15,630","1,564 entrants",Dearborn,Mango,Armada
EVO 2016,"Jul 15 - 17, 2016","$23,720","2,372 entrants",Las Vegas,Hungrybox,Armada
Get On My Level 2016,"May 20 - 22, 2016","$7,698",509 entrants,Toronto,Leffen,Mango
GENESIS 3,"Jan 15 - 17, 2016","$23,779","1,828 entrants",San Jose,Armada,Mango
The Big House 5,"Oct 2 - 4, 2015","$18,170","1,317 entrants",Dearborn,Armada,Hungrybox
EVO 2015,"Jul 17 - 19, 2015","$18,690","1,869 entrants",Las Vegas,Armada,Hungrybox
CEO 2015,"Jun 26 - 28, 2015","$7,830",483 entrants,Orlando,Leffen,Armada
Apex 2015,"Jan 31 - Feb 1, 2015","$18,070","1,037 entrants",Somerset,PPMD,Armada
The Big House 4,"Oct 4 - 5, 2014","$5,740",574 entrants,Romulus,Mango,Mew2King
EVO 2014,"Jul 11 - 13, 2014","$9,700",970 entrants,Las Vegas,Mango,Hungrybox
MLG Anaheim 2014,"Jun 20 - 22, 2014","$15,000",325 entrants,Anaheim,Mango,Armada
Apex 2014,"Jan 17 - 19, 2014","$10,480",629 entrants,Somerset,Dr. PeePee,Mew2King
EVO 2013,"Jul 11 - 13, 2013","$7,930",709 entrants,Las Vegas,Mango,Wobbles
Apex 2013,"Jan 11 - 13, 2013","$6,540",336 entrants,New Brunswick,Armada,Dr. PeePee
Apex 2012,"Jan 6 - 8, 2012","$6,756",318 entrants,New Brunswick,Armada,Hungrybox
GENESIS 2,"Jul 15 - 17, 2011","$7,425",228 entrants,Antioch,Armada,Mango
Pound V,"Feb 19 - 21, 2011","$3,645",243 entrants,Arlington,Dr. PeePee,Armada
Apex 2010,"Aug 6 - 8, 2010","$3,300",218 entrants,New Brunswick,Hungrybox,Armada
Pound 4,"Jan 16 - 18, 2010","$5,205",347 entrants,Frederick,Mango,Hungrybox
GENESIS,"Jul 10 - 12, 2009","$5,700",290 entrants,Antioch,Mango,Armada
EVO World 2007,"Aug 24 - 26, 2007","$10,250",270 entrants,Henderson,Ken,HugS
2006 MLG National Championships,"Nov 18 - 19, 2006","$18,000",8 entrants,Las Vegas,PC Chris,KoreanDJ
MLG New York Playoffs 2006,"Oct 13 - 14, 2006","$13,175",208 entrants,New York City,Azen,PC Chris
